COM4
2018-12-11 18:59:54
190220181211
000000000000000000000000000000000000000000000000000000000000
070007000700070007000700070007000700070012121212121212121212
121212121212121212120700070007000700070007000700070007000700
121212121212121212121212121212121212121207000700070007000700
070007000700070007001212121212121212121212121212121212121212
000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000
000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000
070007000700070007000700070007000700070012121212121212121212
121212121212121212120700070007000700070007000700070007000700
121212121212121212121212121212121212121207000700070007000700
070007000700070007001212121212121212121212121212121212121212
070007000700070007000700070007000700070012121212121212121212
121212121212121212120700070007000700070007000700070007000700
121212121212121212121212121212121212121207000700070007000700
070007000700070007001212121212121212121212121212121212121212
070007000700070007000700070007000700070012121212121212121212
121212121212121212120700070007000700070007000700070007000700
121212121212121212121212121212121212121207000700070007000700
070007000700070007001212121212121212121212121212121212121212
070007000700070007000700070007000700070012121212121212121212
121212121212121212120700070007000700070007000700070007000700
121212121212121212121212121212121212121207000700070007000700
070007000700070007001212121212121212121212121212121212121212
070007000700070007000700070007000700070012121212121212121212
121212121212121212120700070007000700070007000700070007000700
121212121212121212121212121212121212121207000700070007000700
070007000700070007001212121212121212121212121212121212121212
070007000700070007000700070007000700070012121212121212121212
121212121212121212120700070007000700070007000700070007000700
1212121212121212121212121212121212121212
0101010101010101010101010101010101010101
1212121212121212121212121212121212121212
HH:MM:SS MO/DY/YEAR DAY Internal LED01 PIR01 LED02 PIR02 LED03 PIR03 LED04 PIR04 LED05 PIR05 LED06 PIR06 LED07 PIR07 LED08 PIR08 LED09 PIR09 LED10 PIR10
19:46:00 12/11/2018 001 20:30:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:47:00 12/11/2018 001 20:32:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:48:00 12/11/2018 001 20:34:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:49:00 12/11/2018 001 20:36:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:50:00 12/11/2018 001 20:38:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:51:00 12/11/2018 001 20:40:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:52:00 12/11/2018 001 20:42:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:53:00 12/11/2018 001 20:44:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:54:00 12/11/2018 001 20:46:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:55:00 12/11/2018 001 20:48:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:56:00 12/11/2018 001 20:50:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:57:00 12/11/2018 001 20:52:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
