COM4
2018-11-06 20:00:54
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
131120181311201813112018131120181311201807000700070007000700
131120181311201813112018131120181311201807000700070007000700
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
041220180412201804122018041220180412201807000700070007000700
041220180412201804122018041220180412201807000700070007000700
HH:MM:SS MO/DY/YEAR LED01 PIR01 LED02 PIR02 LED03 PIR03 LED04 PIR04 LED05 PIR05 LED06 PIR06 LED07 PIR07 LED08 PIR08 LED09 PIR09 LED10 PIR10
20:43:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
20:44:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
20:45:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
20:46:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
20:47:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
20:48:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
20:50:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
20:51:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
20:52:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
20:53:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
20:54:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
20:55:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
20:56:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
20:57:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
20:58:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
20:59:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:00:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
