COM4
2018-12-10 18:37:29
183820181210001001001121212
000000000000000000000000000000000000000000000000000000000000
183907000700070007000700070007000700070001351224122412241224
122412241224122412240700070007000700070007000700070007000700
122412241224122412241224122412241224122407000700070007000700
070007000700070007001224122412241224122412241224122412241224
HH:MM:SS MO/DY/YEAR DAY Internal LED01 PIR01 LED02 PIR02 LED03 PIR03 LED04 PIR04 LED05 PIR05 LED06 PIR06 LED07 PIR07 LED08 PIR08 LED09 PIR09 LED10 PIR10
19:14:00 12/10/2018 001 19:50:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:15:00 12/10/2018 001 19:52:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:16:00 12/10/2018 001 19:54:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:17:00 12/10/2018 001 19:56:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:18:00 12/10/2018 001 19:58:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:19:00 12/10/2018 001 20:00:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:20:00 12/10/2018 001 20:02:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:21:00 12/10/2018 001 20:04:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:22:00 12/10/2018 001 20:06:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:23:00 12/10/2018 001 20:08:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:24:00 12/10/2018 001 20:10:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:25:00 12/10/2018 001 20:12:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:26:00 12/10/2018 001 20:14:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
19:27:00 12/10/2018 001 20:16:00 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00991 00000 00000 00000 00000 00000 00000  
